"Player","PTS","REB","AST","STL","BLK","FLS","TO","FGM","FGA","3PM","3PA"
"GoGxSeLIOuT","13","0","8","5","0","0","5","10","3","5","6"
"TicTacTy3204","44","1","2","6","0","0","0","22","27","0","0"
"The57thPick","9","6","7","1","0","0","0","3","5","3","5"
"GoGxNoIQ","12","1","8","6","0","1","0","4","6","4","5"
"DarkestPrune2","9","9","4","2","1","1","7","4","10","1","4"
