Player,PTS,REB,AST,STL,BLK,FLS,TO,FGM,FGA,3PM,3PA
TicTacTy3204,33,3,7,0,0,2,4,15,18,0,0
eellou,4,3,4,0,1,3,1,2,6,0,4
The57thPick,6,5,5,5,0,0,1,2,5,2,3
LaWyErUP2015,14,0,2,2,0,0,0,5,7,4,6
DarkestPrune2,4,12,8,3,1,0,3,5,9,0,2
