"Player","PTS","REB","AST","STL","BLK","FLS","TO","FGM","FGA","3PM","3PA"
"SxckMyRath","2","1","2","0","0","0","2","1","4","0","1"
"NoCapBkrizzy","13","2","14","0","0","4","1","5","9","3","6"
"HeliosStory","33","1","1","2","0","2","0","16","21","1","2"
"Mattyb06245083","19","1","2","0","0","0","0","6","7","6","7"
"DwayneSuede7","17","6","8","1","4","0","1","6","8","5","6"
