"Player","PTS","REB","AST","STL","BLK","FLS","TO","FGM","FGA","3PM","3PA"
"Bballerjosh","22","1","10","2","0","1","2","9","14","2","3"
"RichStayGone","13","2","6","4","0","0","3","4","5","4","4"
"TyeStayGone","17","0","5","1","0","4","0","6","9","4","6"
"VroMobstarz","29","11","2","0","1","2","1","13","18","0","0"
"S4YL Toren","6","1","4","1","0","0","0","2","7","2","7"
