"Player","PTS","REB","AST","STL","BLK","FLS","TO","FGM","FGA","3PM","3PA"
"Bballerjosh","12","0","6","2","0","0","2","5","10","2","3"
"RichStayGone","20","0","4","1","1","2","3","6","10","4","8"
"TyeStayGone","29","3","4","2","0","3","3","11","13","7","8"
"ZayHightower236","10","3","6","5","1","1","2","5","5","0","0"
"S4YL Toren","5","2","1","1","0","1","0","2","5","1","4"
