"Player","PTS","REB","AST","STL","BLK","FLS","TO","FGM","FGA","3PM","3PA"
"Bballerjosh","16","2","11","0","0","1","1","7","11","2","3"
"RichStayGone","22","1","3","4","1","1","3","8","15","6","12"
"S4YL Toren","11","0","2","2","0","0","2","5","6","1","2"
"LeviStayGone","0","0","2","2","0","0","2","0","1","0","1"
"TyeStayGone","15","5","2","3","1","2","6","7","12","1","3"
