"Player","PTS","REB","AST","STL","BLK","FLS","TO","FGM","FGA","3PM","3PA"
"Bballerjosh","12","0","11","0","0","0","0","5","7","2","2"
"RichStayGone","19","2","3","4","1","2","2","7","11","5","8"
"TyeStayGone","22","0","1","1","0","1","1","9","12","4","6"
"S4YL Toren","5","1","4","1","0","0","1","2","6","1","4"
"ZayHightower236","18","15","3","3","0","0","2","8","11","0","0"
