"Player","PTS","REB","AST","STL","BLK","FLS","TO","FGM","FGA","3PM","3PA"
"TayyTrendyy","29","3","15","1","0","2","3","10","16","4","8"
"Prime Kam","20","0","2","4","0","2","1","9","14","2","3"
"ImRehearsing","14","2","0","0","0","0","1","6","8","2","3"
"RiqMyles","6","0","3","4","0","2","1","2","3","2","3"
"SwampySphinx646","10","14","0","0","1","0","4","4","7","0","0"
