"Player","PTS","REB","AST","STL","BLK","FLS","TO","FGM","FGA","3PM","3PA"
"TayyTrendyy","31","2","6","1","0","0","2","12","17","3","6"
"ImRehearsing","15","3","1","0","0","0","0","6","10","3","3"
"Vlonemoviin","2","1","1","2","0","0","1","1","5","0","3"
"RiqMyles","0","1","1","5","0","1","1","0","0","0","0"
"Prime Kam","10","12","2","1","2","1","3","4","8","2","3"
