"Player","PTS","REB","AST","STL","BLK","FLS","TO","FGM","FGA","3PM","3PA"
"TayyTrendyy","34","0","12","0","0","0","3","14","20","5","8"
"ImRehearsin","20","1","2","3","0","1","0","7","7","6","6"
"True Ta Self","0","4","0","1","0","0","0","0","1","0","1"
"RiqMyles","11","0","0","0","0","1","0","4","7","3","5"
"Prime Kam","8","6","4","0","4","3","2","3","6","2","4"
