"Player","PTS","REB","AST","STL","BLK","FLS","TO","FGM","FGA","3PM","3PA"
"TayyTrendyy","34","2","14","2","1","0","1","13","15","4","4"
"Prime Kam","20","0","0","4","0","2","0","9","13","1","2"
"ImRehearsin","22","1","1","2","0","3","0","8","16","4","6"
"True Ta Self","0","2","0","1","1","2","0","0","0","0","0"
"Vlonemoviin","8","10","2","0","2","1","0","4","5","0","0"
