"Player","PTS","REB","AST","STL","BLK","FLS","TO","FGM","FGA","3PM","3PA"
"ACTBADJR","26","0","10","1","0","4","2","10","13","6","7"
"DEADintheHEAD18","37","0","0","1","0","4","3","17","23","1","3"
"nolimitmp","6","1","5","2","0","1","3","3","4","0","0"
"JamN131","5","5","3","1","1","1","0","2","4","1","2"
"doublen7784","0","10","6","1","2","1","2","0","3","0","2"
