"Player","PTS","REB","AST","STL","BLK","FLS","TO","FGM","FGA","3PM","3PA"
"ACTBADJR","32","0","7","10","0","0","2","12","17","4","6"
"DEADintheHEAD18","19","1","5","0","0","1","1","8","15","1","2"
"BombSquad 97","2","0","1","4","0","2","1","1","4","0","2"
"doublen7784","9","4","3","0","0","0","2","3","4","3","3"
"gotNext2K","14","10","2","0","2","0","2","6","9","0","0"
