"Player","PTS","REB","AST","STL","BLK","FLS","TO","FGM","FGA","3PM","3PA"
"G1LAN1","8","1","9","0","0","1","3","3","11","1","3"
"DEADintheHEAD18","16","0","6","2","1","3","1","8","13","0","3"
"OnlyNoriega","9","2","2","1","0","0","0","4","6","1","3"
"Darkstorm846","9","1","4","0","1","0","2","4","5","1","1"
"JamN131","25","12","2","0","1","0","0","12","14","0","0"
