"Player","PTS","REB","AST","STL","BLK","FLS","TO","FGM","FGA","3PM","3PA"
"ACTBADJR","31","0","9","3","0","1","0","11","17","7","10"
"DEADintheHEAD18","19","1","5","0","0","2","1","8","14","1","6"
"OnlyNoriega","17","3","0","1","0","1","0","6","10","3","4"
"BombSquad 97","4","4","5","1","0","3","1","1","3","0","0"
"gotNext2K","14","14","4","5","7","1","0","5","8","0","0"
