"Player","PTS","REB","AST","STL","BLK","FLS","TO","FGM","FGA","3PM","3PA"
"daddyLongleg323","7","2","3","2","0","0","1","2","6","1","1"
"kingcols","2","1","5","0","0","2","3","1","10","0","1"
"TheKaiMac","12","1","1","0","0","1","2","4","10","2","4"
"leaguefits ian","12","0","7","1","0","0","4","5","7","2","3"
"d0nniebui","12","15","2","0","5","2","3","6","8","0","0"
