"Player","PTS","REB","AST","STL","BLK","FLS","TO","FGM","FGA","3PM","3PA"
"TheKaiMac","15","2","3","1","0","3","1","6","11","3","7"
"akablaze42011","28","0","0","1","0","2","0","14","17","0","0"
"leaguefits ian","3","0","19","0","1","0","4","1","2","1","1"
"kingcols","10","0","4","2","0","2","2","3","7","2","4"
"d0nniebui","6","14","1","0","4","1","2","3","5","0","0"
