"Player","PTS","REB","AST","STL","BLK","FLS","TO","FGM","FGA","3PM","3PA"
"daddyLongleg323","6","0","3","1","0","2","3","3","9","0","2"
"kingcols","35","2","3","0","0","4","2","13","18","3","5"
"akablaze42011","15","4","1","3","0","1","1","7","12","1","1"
"leaguefits ian","5","2","6","0","0","1","4","2","4","1","3"
"d0nniebui","0","8","7","2","1","2","4","0","2","0","0"
