"Player","PTS","REB","AST","STL","BLK","FLS","TO","FGM","FGA","3PM","3PA"
"daddyLongleg323","17","2","2","5","0","0","5","7","11","1","2"
"kingcols","20","0","7","2","0","2","2","9","15","2","4"
"TheKaiMac","32","2","2","0","0","1","0","13","21","6","9"
"leaguefits ian","6","0","19","0","0","0","6","2","4","2","4"
"d0nniebui","6","14","3","1","0","0","1","3","6","0","0"
