"Player","PTS","REB","AST","STL","BLK","FLS","TO","FGM","FGA","3PM","3PA"
"AtheGr88462","8","1","12","0","0","1","8","4","8","0","0"
"Jimonthy1934","20","0","1","0","0","1","1","8","10","4","5"
"MSU Bulldog Dan","28","0","5","0","1","2","1","12","20","4","9"
"TubbyPnda","2","2","0","3","2","2","2","1","4","0","0"
"motoboto","4","15","3","1","5","0","3","2","6","0","0"
