"Player","PTS","REB","AST","STL","BLK","FLS","TO","FGM","FGA","3PM","3PA"
"AtheGr88462","0","1","8","0","0","7","0","4","0","0","1"
"Jimonthy1934","5","1","0","0","0","1","2","2","8","1","5"
"MSU Bulldog Dan","9","2","3","2","1","0","2","3","10","3","7"
"TubbyPnda","11","5","1","1","0","1","3","5","12","1","2"
"A MOSHARK","13","13","1","3","4","1","3","5","11","1","3"
