"Player","PTS","REB","AST","STL","BLK","FLS","TO","FGM","FGA","3PM","3PA"
"YOUNGSHOOTER273","6","0","7","1","0","0","3","2","5","2","2"
"Jesse Is AFK","10","0","7","4","0","2","2","4","4","2","2"
"XxChillSkillxX","8","1","5","0","0","0","4","3","7","2","3"
"BauseSoulo","8","0","2","0","0","2","1","2","2","0","0"
"Snoop Dee Doo","30","11","1","1","0","0","5","15","21","0","0"
