"Player","PTS","REB","AST","STL","BLK","FLS","TO","FGM","FGA","3PM","3PA"
"BMBxSwxsh","19","0","4","1","1","0","0","6","8","5","5"
"BMBxCEO4431","20","0","8","0","0","2","4","8","12","4","7"
"BMBxcXmp","5","1","1","1","0","1","1","2","5","1","2"
"BMBxManOfGod","15","2","5","0","1","2","1","7","13","0","0"
"BMBxDTRAIN","4","13","2","1","2","1","1","2","3","0","0"
