"Player","PTS","REB","AST","STL","BLK","FLS","TO","FGM","FGA","3PM","3PA"
"BMBxSwxsh","24","0","6","1","0","2","7","9","11","6","8"
"BMBxCEO4431","21","1","9","0","0","0","7","9","18","3","7"
"BMBxcXmp","8","6","2","1","1","0","1","3","6","2","5"
"mrGoode629","9","3","5","2","1","0","5","4","6","0","0"
"BMBxDTRAIN","2","7","1","3","2","0","0","1","2","0","0"
