"Player","PTS","REB","AST","STL","BLK","FLS","TO","FGM","FGA","3PM","3PA"
"ChicagoBulls175","10","0","3","1","0","1","1","4","14","0","1"
"r0b0t ballz","9","1","3","1","0","1","0","4","10","1","3"
"HalesSchworty","9","0","0","0","0","0","2","3","6","3","5"
"BolstrusEats","0","1","2","1","0","1","1","0","2","0","1"
"SGxLocky","22","17","6","3","4","3","1","10","15","0","0"
