"Player","PTS","REB","AST","STL","BLK","FLS","TO","FGM","FGA","3PM","3PA"
"Trickyyy X","14","0","2","1","0","4","1","5","11","4","10"
"Slxsher Gxng","23","0","2","2","0","2","6","10","18","3","5"
"TM PRIME","13","3","4","3","0","2","5","5","7","3","5"
"CysD CenTRaL","0","2","3","1","0","1","0","0","0","0","0"
"LiLJBlack2","2","6","6","1","2","0","0","1","3","0","0"
