"Player","PTS","REB","AST","STL","BLK","FLS","TO","FGM","FGA","3PM","3PA"
"Trickyyy X","15","0","5","0","0","0","1","5","12","5","11"
"CASHrz","23","0","4","0","0","3","2","8","10","7","7"
"Slxsher Gxng","11","1","3","2","0","2","2","5","8","1","2"
"TM PRIME","2","2","7","0","0","2","4","1","6","0","0"
"LiLJBlack2","2","11","1","2","2","3","1","1","3","0","0"
