"Player","PTS","REB","AST","STL","BLK","FLS","TO","FGM","FGA","3PM","3PA"
"Trickyyy X","16","1","14","0","0","0","4","5","7","4","6"
"CASHrz","27","0","8","2","0","1","2","9","11","8","9"
"Slxsher Gxng","29","1","4","1","1","0","2","12","14","1","1"
"TM PRIME","20","4","6","1","0","1","1","8","12","4","7"
"LiLJBlack2","10","12","4","3","6","2","0","5","6","0","0"
