"Player","PTS","REB","AST","STL","BLK","FLS","TO","FGM","FGA","3PM","3PA"
"Trickyyy X","32","1","4","5","0","0","2","11","13","9","10"
"CASHrz","10","0","5","3","0","1","0","4","6","2","4"
"Slxsher Gxng","36","3","1","2","0","0","1","17","25","2","2"
"TM PRIME","7","1","14","0","0","1","2","2","3","0","0"
"LiLJBlack2","9","8","10","0","2","3","0","4","6","0","0"
