"Player","PTS","REB","AST","STL","BLK","FLS","TO","FGM","FGA","3PM","3PA"
"Trickyyy X","24","0","7","1","0","0","1","7","11","7","9"
"Slxsher Gxng","33","0","1","3","0","1","3","15","21","3","5"
"TM PRIME","6","0","16","1","0","1","1","2","5","2","5"
"CysD CenTRaL","15","1","1","1","0","1","0","5","6","5","6"
"LiLJBlack2","12","13","5","1","1","0","1","6","7","0","0"
